Amphibians After Dark                   ,Lake Fairfax Park                       ,7pm Fri                                                                                              ,4/27/2018
JGS-Camper                              ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,4/28/2018
T-Shirt Quilting (9-Adult)              ,Lake Fairfax Park                       ,6:30pm Fri                                                                                           ,5/4/2018
SGS Journey: Sow What?                  ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,4/21/2018
Intro to Kayaking (12-Adult)            ,Lake Fairfax Park                       ,12:45pm Sun                                                                                          ,5/6/2018
Intro to Kayaking (6-12 yrs)            ,Lake Fairfax Park                       ,11am Sun                                                                                             ,5/6/2018
Birding for Beginners                   ,Lake Fairfax Park                       ,8am Sun                                                                                              ,5/13/2018
BGS-Hiker                               ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,5/19/2018
Sewing Workshop-Alterations II 9+       ,Lake Fairfax Park                       ,12pm Sat                                                                                             ,5/19/2018
SGS Journey: Sow What?                  ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,6/2/2018
Sewing Workshop-Machine Fundamentals 9+ ,Lake Fairfax Park                       ,12pm Sat                                                                                             ,6/9/2018
BGS-Home Scientist                      ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,6/9/2018
Little Fingers Guitar (3-5 yrs)         ,Lake Fairfax Park                       ,11am Sat                                                                                             ,6/16/2018
Exploring Nature Series-Summer 6-12 yrs ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,6/16/2018
Exploring Nature Series-Summer 13-Adult ,Lake Fairfax Park                       ,3:30pm Sat                                                                                           ,6/16/2018
Little Fingers Piano w/Parent (2-5 yrs) ,Lake Fairfax Park                       ,10:30am Sat                                                                                          ,6/16/2018
Intro to Kayaking (6-12 yrs)            ,Lake Fairfax Park                       ,11am Sun                                                                                             ,6/17/2018
Intro to Kayaking (12-Adult)            ,Lake Fairfax Park                       ,12:15pm Sun                                                                                          ,6/17/2018
Archery I (9-15 yrs)                    ,Lake Fairfax Park                       ,5:30pm Mon                                                                                           ,6/18/2018
Archery I (13-Adult)                    ,Lake Fairfax Park                       ,6:30pm Mon                                                                                           ,6/18/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,6/18/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,6/18/2018
Catch Some Outdoor Fun (3-6 yrs.)       ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,6/18/2018
